note_id,note_text
"00001:47713:1","Train on [Platform 2] departing for [Sydenham]"
"00004:47713:10","This stop for [Macquarie Shopping Center]"
"00003:47713:21","Train terminates at this stop [Sydenham], please disembark"
"00001:47727:1","Train on [Platform 1] departing for [Tallawong]"
"00004:47727:12","This stop for [Macquarie Shopping Center]"
"00003:47727:21","Train terminates at this stop [Tallawong], please disembark"
"00001:47745:1","Train on [Platform 1] departing for [Tallawong]"
"00004:47745:12","This stop for [Macquarie Shopping Center]"
"00003:47745:21","Train terminates at this stop [Tallawong], please disembark"
"00001:47746:1","Train on [Platform 1] departing for [Tallawong]"
"00004:47746:12","This stop for [Macquarie Shopping Center]"
"00003:47746:21","Train terminates at this stop [Tallawong], please disembark"
"00001:47750:1","Train on [Platform 2] departing for [Tallawong]"
"00004:47750:12","This stop for [Macquarie Shopping Center]"
"00003:47750:21","Train terminates at this stop [Tallawong], please disembark"
"00001:47752:1","Train on [Platform 1] departing for [Tallawong]"
"00004:47752:12","This stop for [Macquarie Shopping Center]"
"00003:47752:21","Train terminates at this stop [Tallawong], please disembark"
"00001:47754:1","Train on [Platform 1] departing for [Tallawong]"
"00004:47754:12","This stop for [Macquarie Shopping Center]"
"00003:47754:21","Train terminates at this stop [Tallawong], please disembark"
"00001:47755:1","Train on [Platform 2] departing for [Sydenham]"
"00004:47755:10","This stop for [Macquarie Shopping Center]"
"00003:47755:21","Train terminates at this stop [Sydenham], please disembark"
"00001:47763:1","Train on [Platform 2] departing for [Martin Place]"
"00004:47763:10","This stop for [Macquarie Shopping Center]"
"00003:47763:17","Train terminates at this stop [Martin Place], please disembark"
"00001:47778:1","Train on [Platform 4] departing for [Tallawong]"
"00004:47778:8","This stop for [Macquarie Shopping Center]"
"00003:47778:17","Train terminates at this stop [Tallawong], please disembark"
"00001:47781:1","Train on [Platform 4] departing for [Tallawong]"
"00004:47781:8","This stop for [Macquarie Shopping Center]"
"00003:47781:17","Train terminates at this stop [Tallawong], please disembark"
"00001:47790:1","Train on [Platform 1] departing for [Tallawong]"
"00004:47790:12","This stop for [Macquarie Shopping Center]"
"00003:47790:21","Train terminates at this stop [Tallawong], please disembark"
"00001:47802:1","Train on [Platform 2] departing for [Sydenham]"
"00004:47802:10","This stop for [Macquarie Shopping Center]"
"00003:47802:21","Train terminates at this stop [Sydenham], please disembark"
"00001:47815:1","Train on [Platform 2] departing for [Sydenham]"
"00004:47815:10","This stop for [Macquarie Shopping Center]"
"00003:47815:21","Train terminates at this stop [Sydenham], please disembark"
"00001:47836:1","Train on [Platform 2] departing for [Tallawong]"
"00004:47836:12","This stop for [Macquarie Shopping Center]"
"00003:47836:21","Train terminates at this stop [Tallawong], please disembark"
"00001:47839:1","Train on [Platform 2] departing for [Sydenham]"
"00004:47839:10","This stop for [Macquarie Shopping Center]"
"00003:47839:21","Train terminates at this stop [Sydenham], please disembark"
"00001:47840:1","Train on [Platform 1] departing for [Tallawong]"
"00004:47840:12","This stop for [Macquarie Shopping Center]"
"00003:47840:21","Train terminates at this stop [Tallawong], please disembark"
"00001:47845:1","Train on [Platform 2] departing for [Martin Place]"
"00004:47845:10","This stop for [Macquarie Shopping Center]"
"00003:47845:17","Train terminates at this stop [Martin Place], please disembark"
"00001:47850:1","Train on [Platform 1] departing for [Tallawong]"
"00004:47850:12","This stop for [Macquarie Shopping Center]"
"00003:47850:21","Train terminates at this stop [Tallawong], please disembark"
"00001:47857:1","Train on [Platform 4] departing for [Tallawong]"
"00004:47857:8","This stop for [Macquarie Shopping Center]"
"00003:47857:17","Train terminates at this stop [Tallawong], please disembark"
"00001:47859:1","Train on [Platform 3] departing for [Sydenham]"
"00004:47859:10","This stop for [Macquarie Shopping Center]"
"00003:47859:21","Train terminates at this stop [Sydenham], please disembark"
